ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-5635838,Activation of SMO,1/58,18/10616,0.0939773847662262,0.296028762013613,0.262147441716315,GAS1,1
R-HSA-1482925,Acyl chain remodelling of PG,1/58,19/10616,0.0989358025510496,0.301594623905619,0.267076275137808,PLA2G5,1
R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),1/58,19/10616,0.0989358025510496,0.301594623905619,0.267076275137808,CYP1A1,1
R-HSA-1483257,Phospholipid metabolism,3/58,211/10616,0.108139571148637,0.302720658262546,0.268073431711194,PLA2G5/TNFAIP8L2/ETNPPL,3
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,1/58,21/10616,0.108772766861009,0.302720658262546,0.268073431711194,DTX4,1
R-HSA-5621575,CD209 (DC-SIGN) signaling,1/58,21/10616,0.108772766861009,0.302720658262546,0.268073431711194,CD209,1
R-HSA-5668914,Diseases of metabolism,2/58,104/10616,0.110463461107867,0.302720658262546,0.268073431711194,CYP24A1/TALDO1,2
R-HSA-140875,Common Pathway of Fibrin Clot Formation,1/58,22/10616,0.113651594564838,0.302720658262546,0.268073431711194,F13A1,1
R-HSA-8935690,Digestion,1/58,22/10616,0.113651594564838,0.302720658262546,0.268073431711194,PIR,1
R-HSA-9613829,Chaperone Mediated Autophagy,1/58,22/10616,0.113651594564838,0.302720658262546,0.268073431711194,RNASE1,1
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,2/58,108/10616,0.117566629954489,0.302720658262546,0.268073431711194,IRF4/F13A1,2
R-HSA-8957275,Post-translational protein phosphorylation,2/58,108/10616,0.117566629954489,0.302720658262546,0.268073431711194,MSLN/SCG2,2
R-HSA-6798695,Neutrophil degranulation,5/58,477/10616,0.118273508270995,0.302720658262546,0.268073431711194,S100A12/MMP8/PIGR/VNN1/HP,5
R-HSA-1482801,Acyl chain remodelling of PS,1/58,23/10616,0.118504172204562,0.302720658262546,0.268073431711194,PLA2G5,1
R-HSA-156580,Phase II - Conjugation of compounds,2/58,109/10616,0.119360463258016,0.302720658262546,0.268073431711194,CHAC1/HPGDS,2
R-HSA-211981,Xenobiotics,1/58,24/10616,0.123330638551408,0.302720658262546,0.268073431711194,CYP1A1,1
R-HSA-933542,TRAF6 mediated NF-kB activation,1/58,24/10616,0.123330638551408,0.302720658262546,0.268073431711194,S100A12,1
R-HSA-977068,Termination of O-glycan biosynthesis,1/58,24/10616,0.123330638551408,0.302720658262546,0.268073431711194,MUC7,1
R-HSA-5621480,Dectin-2 family,1/58,27/10616,0.137654746760203,0.329325913135169,0.291633640704494,MUC7,1
R-HSA-8963743,Digestion and absorption,1/58,27/10616,0.137654746760203,0.329325913135169,0.291633640704494,PIR,1
R-HSA-1482788,Acyl chain remodelling of PC,1/58,28/10616,0.142378141291123,0.336200270214014,0.297721208376654,PLA2G5,1
R-HSA-8982491,Glycogen metabolism,1/58,29/10616,0.147076107649747,0.336200270214014,0.297721208376654,PGM2L1,1
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2/58,125/10616,0.148925298040493,0.336200270214014,0.297721208376654,MSLN/SCG2,2
R-HSA-1482839,Acyl chain remodelling of PE,1/58,30/10616,0.151748780338546,0.336200270214014,0.297721208376654,PLA2G5,1
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,1/58,31/10616,0.156396293161176,0.336200270214014,0.297721208376654,DTX4,1
R-HSA-399719,Trafficking of AMPA receptors,1/58,31/10616,0.156396293161176,0.336200270214014,0.297721208376654,PRKCG,1
R-HSA-399721,Glutamate binding, activation of AMPA receptors and synaptic plasticity,1/58,31/10616,0.156396293161176,0.336200270214014,0.297721208376654,PRKCG,1
R-HSA-445095,Interaction between L1 and Ankyrins,1/58,31/10616,0.156396293161176,0.336200270214014,0.297721208376654,SCN8A,1
R-HSA-1483206,Glycerophospholipid biosynthesis,2/58,129/10616,0.156537691951499,0.336200270214014,0.297721208376654,PLA2G5/ETNPPL,2
R-HSA-445989,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,1/58,32/10616,0.161018779226047,0.338139436374698,0.299438431543175,S100A12,1
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,1/58,32/10616,0.161018779226047,0.338139436374698,0.299438431543175,CD79A,1
R-HSA-1592389,Activation of Matrix Metalloproteinases,1/58,33/10616,0.165616370949864,0.341344092403304,0.302276305720553,MMP8,1
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,2/58,134/10616,0.166156912704254,0.341344092403304,0.302276305720553,PRKCG/F13A1,2
R-HSA-5663084,Diseases of carbohydrate metabolism,1/58,34/10616,0.170189200061167,0.342188923527239,0.303024443557956,TALDO1,1
R-HSA-9615710,Microautophagy,1/58,34/10616,0.170189200061167,0.342188923527239,0.303024443557956,RNASE1,1
R-HSA-111933,Calmodulin induced events,1/58,36/10616,0.179261093940562,0.34324405740299,0.303958814408663,PRKCG,1
R-HSA-111997,CaM pathway,1/58,36/10616,0.179261093940562,0.34324405740299,0.303958814408663,PRKCG,1
R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,1/58,36/10616,0.179261093940562,0.34324405740299,0.303958814408663,CYP24A1,1
R-HSA-418594,G alpha (i) signalling events,4/58,405/10616,0.179616187925482,0.34324405740299,0.303958814408663,PRKCG/AKR1B10/AKR1C1/AKR1C3,4
R-HSA-5621481,C-type lectin receptors (CLRs),2/58,141/10616,0.179794506258709,0.34324405740299,0.303958814408663,MUC7/CD209,2
R-HSA-111996,Ca-dependent events,1/58,38/10616,0.188235501062101,0.352242670304328,0.311927510879355,PRKCG,1
R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,1/58,38/10616,0.188235501062101,0.352242670304328,0.311927510879355,TALDO1,1
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),1/58,39/10616,0.192686469197703,0.357036692925155,0.316172844194373,F13A1,1
R-HSA-1483166,Synthesis of PA,1/58,40/10616,0.197113450835836,0.361693613669641,0.320296767326499,PLA2G5,1
R-HSA-1489509,DAG and IP3 signaling,1/58,42/10616,0.205895961993872,0.37061273158897,0.328195067238353,PRKCG,1
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,1/58,42/10616,0.205895961993872,0.37061273158897,0.328195067238353,HP,1
R-HSA-1296072,Voltage gated Potassium channels,1/58,43/10616,0.210251743552824,0.374882825768714,0.331976437188669,KCNH8,1
R-HSA-5576892,Phase 0 - rapid depolarisation,1/58,46/10616,0.223178690653046,0.394212827415193,0.349094066048542,SCN8A,1
R-HSA-9020591,Interleukin-12 signaling,1/58,47/10616,0.227441286295631,0.398022251017354,0.352467490458142,TALDO1,1
R-HSA-418597,G alpha (z) signalling events,1/58,48/10616,0.231680893202137,0.401721915735815,0.355743718195458,PRKCG,1
R-HSA-449147,Signaling by Interleukins,4/58,460/10616,0.242551682167668,0.416747890269902,0.369049927891475,S100A12/IRF4/F13A1/TALDO1,4
R-HSA-112043,PLC beta mediated events,1/58,54/10616,0.256642548771193,0.43698596142122,0.386971695159977,PRKCG,1
R-HSA-112040,G-protein mediated events,1/58,55/10616,0.260724610139425,0.439972779610279,0.3896166636482,PRKCG,1
R-HSA-447115,Interleukin-12 family signaling,1/58,57/10616,0.268822754408117,0.445679829676615,0.394670525862333,TALDO1,1
R-HSA-936837,Ion transport by P-type ATPases,1/58,57/10616,0.268822754408117,0.445679829676615,0.394670525862333,ATP4A,1
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,1/58,63/10616,0.292597695312038,0.475148724855038,0.420766623514069,DTX4,1
R-HSA-913709,O-linked glycosylation of mucins,1/58,63/10616,0.292597695312038,0.475148724855038,0.420766623514069,MUC7,1
R-HSA-1442490,Collagen degradation,1/58,64/10616,0.296485626106306,0.475148724855038,0.420766623514069,MMP8,1
R-HSA-913531,Interferon Signaling,2/58,199/10616,0.296653701232246,0.475148724855038,0.420766623514069,GBP5/IRF4,2
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,1/58,68/10616,0.311828442061803,0.495256937392275,0.438573394850302,MUC7,1
R-HSA-909733,Interferon alpha/beta signaling,1/58,69/10616,0.315612472243867,0.497089643784091,0.440196342866447,IRF4,1
R-HSA-70171,Glycolysis,1/58,71/10616,0.323119290185167,0.504706990454517,0.446941862892053,PGM2L1,1
R-HSA-1980143,Signaling by NOTCH1,1/58,73/10616,0.330545172685186,0.511686989020926,0.453122981087871,DTX4,1
R-HSA-416476,G alpha (q) signalling events,2/58,217/10616,0.333002643648539,0.511686989020926,0.453122981087871,GPR132/PTGER1,2
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,1/58,78/10616,0.348761391562592,0.531579862946209,0.470739059918949,S100A12,1
R-HSA-1483255,PI Metabolism,1/58,83/10616,0.366490254455076,0.539166378027081,0.477457277116713,TNFAIP8L2,1
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,1/58,84/10616,0.369978678004075,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,1/58,84/10616,0.369978678004075,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-975871,MyD88 cascade initiated on plasma membrane,1/58,84/10616,0.369978678004075,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-216083,Integrin cell surface interactions,1/58,85/10616,0.37344822193455,0.539166378027081,0.477457277116713,ICAM5,1
R-HSA-5632684,Hedgehog 'on' state,1/58,85/10616,0.37344822193455,0.539166378027081,0.477457277116713,GAS1,1
R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,1/58,90/10616,0.390516242833476,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-111885,Opioid Signalling,1/58,91/10616,0.393874599086152,0.539166378027081,0.477457277116713,PRKCG,1
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,1/58,91/10616,0.393874599086152,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-70326,Glucose metabolism,1/58,91/10616,0.393874599086152,0.539166378027081,0.477457277116713,PGM2L1,1
R-HSA-975155,MyD88 dependent cascade initiated on endosome,1/58,91/10616,0.393874599086152,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-4086400,PCP/CE pathway,1/58,92/10616,0.397214767566247,0.539166378027081,0.477457277116713,PRKCG,1
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,1/58,93/10616,0.400536845054004,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1/58,94/10616,0.403840927823829,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,1/58,94/10616,0.403840927823829,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-3214815,HDACs deacetylate histones,1/58,94/10616,0.403840927823829,0.539166378027081,0.477457277116713,H2BC18,1
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,1/58,95/10616,0.407127111646887,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-166166,MyD88-independent TLR4 cascade ,1/58,97/10616,0.413646163036649,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,1/58,97/10616,0.413646163036649,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,1/58,97/10616,0.413646163036649,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling ,1/58,97/10616,0.413646163036649,0.539166378027081,0.477457277116713,S100A12,1
R-HSA-1296071,Potassium Channels,1/58,99/10616,0.42009475542564,0.541534600345759,0.479554449763162,KCNH8,1
R-HSA-76002,Platelet activation, signaling and aggregation,2/58,262/10616,0.421193578046701,0.541534600345759,0.479554449763162,PRKCG/F13A1,2
R-HSA-5689603,UCH proteinases,1/58,102/10616,0.429637168183634,0.544976005279911,0.482601976271266,UCHL1,1
R-HSA-9020702,Interleukin-1 signaling,1/58,102/10616,0.429637168183634,0.544976005279911,0.482601976271266,S100A12,1
R-HSA-163685,Integration of energy metabolism,1/58,108/10616,0.448261372997569,0.564809329976937,0.500165321449919,TALDO1,1
R-HSA-5173105,O-linked glycosylation,1/58,111/10616,0.457348034314283,0.572401562437041,0.506888601656862,MUC7,1
R-HSA-983705,Signaling by the B Cell Receptor (BCR),1/58,112/10616,0.46034411370598,0.572401562437041,0.506888601656862,CD79A,1
R-HSA-5688426,Deubiquitination,2/58,291/10616,0.474953450968883,0.576737578011576,0.510728348113843,H2BC18/UCHL1,2
R-HSA-1989781,PPARA activates gene expression,1/58,117/10616,0.475082364024825,0.576737578011576,0.510728348113843,CYP1A1,1
R-HSA-9612973,Autophagy,1/58,118/10616,0.477982185235089,0.576737578011576,0.510728348113843,RNASE1,1
R-HSA-373760,L1CAM interactions,1/58,119/10616,0.480866261559757,0.576737578011576,0.510728348113843,SCN8A,1
R-HSA-400206,Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha),1/58,119/10616,0.480866261559757,0.576737578011576,0.510728348113843,CYP1A1,1
R-HSA-71387,Metabolism of carbohydrates,2/58,295/10616,0.48214040913137,0.576737578011576,0.510728348113843,PGM2L1/TALDO1,2
R-HSA-9006931,Signaling by Nuclear Receptors,2/58,298/10616,0.487492255417751,0.579471926251289,0.513149742545001,ADH1C/AKR1C3,2
R-HSA-1474244,Extracellular matrix organization,2/58,301/10616,0.492810797785408,0.582132754884014,0.515506031893947,MMP8/ICAM5,2
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,1/58,127/10616,0.503382044019025,0.590926747326682,0.523293527290127,S100A12,1
R-HSA-114608,Platelet degranulation ,1/58,129/10616,0.508859319286184,0.593669205833881,0.52572210374596,F13A1,1
R-HSA-194840,Rho GTPase cycle,1/58,137/10616,0.530180918374125,0.613769158436499,0.543521560520209,ARHGAP22,1
R-HSA-446652,Interleukin-1 family signaling,1/58,139/10616,0.535367556124308,0.613769158436499,0.543521560520209,S100A12,1
R-HSA-1474228,Degradation of the extracellular matrix,1/58,140/10616,0.537939731531848,0.613769158436499,0.543521560520209,MMP8,1
R-HSA-5576891,Cardiac conduction,1/58,141/10616,0.54049791171237,0.613769158436499,0.543521560520209,SCN8A,1
R-HSA-3214847,HATs acetylate histones,1/58,142/10616,0.543042171485228,0.613769158436499,0.543521560520209,H2BC18,1
R-HSA-3781865,Diseases of glycosylation,1/58,143/10616,0.545572585276888,0.613769158436499,0.543521560520209,MUC7,1
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),2/58,335/10616,0.550666375329168,0.614896479145607,0.544519856219167,GPR132/PTGER1,2
R-HSA-3858494,Beta-catenin independent WNT signaling,1/58,146/10616,0.553081489178588,0.614896479145607,0.544519856219167,PRKCG,1
R-HSA-5358351,Signaling by Hedgehog,1/58,149/10616,0.560468421308943,0.619465097236201,0.548565583183269,GAS1,1
R-HSA-168898,Toll-like Receptor Cascades,1/58,153/10616,0.570131291163784,0.626481476918344,0.554778918574307,S100A12,1
R-HSA-983231,Factors involved in megakaryocyte development and platelet production,1/58,168/10616,0.604542875081322,0.660454354857629,0.584863505554793,HBD,1
R-HSA-71291,Metabolism of amino acids and derivatives,2/58,372/10616,0.608336814864128,0.660779643731725,0.585151564206874,TPO/HPD,2
R-HSA-983712,Ion channel transport,1/58,186/10616,0.64227707937879,0.693659245729093,0.614268003736707,ATP4A,1
R-HSA-112316,Neuronal System,2/58,413/10616,0.665653505461607,0.714821093933203,0.633007819188968,KCNH8/PRKCG,2
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,1/58,206/10616,0.680061528588586,0.726167394933575,0.643055504285371,PRKCG,1
R-HSA-397014,Muscle contraction,1/58,209/10616,0.685379971818338,0.727734913897,0.644443616316474,SCN8A,1
R-HSA-5689880,Ub-specific processing proteases,1/58,214/10616,0.69405159876009,0.732825431093056,0.648951509572798,H2BC18,1
R-HSA-157118,Signaling by NOTCH,1/58,234/10616,0.726449885198077,0.759125141923793,0.672241144894921,DTX4,1
R-HSA-500792,GPCR ligand binding,2/58,467/10616,0.730845609300643,0.759125141923793,0.672241144894921,GPR132/PTGER1,2
R-HSA-8878171,Transcriptional regulation by RUNX1,1/58,237/10616,0.731009395926615,0.759125141923793,0.672241144894921,TNFRSF18,1
R-HSA-8953897,Cellular responses to external stimuli,2/58,491/10616,0.756261745286906,0.781057212345493,0.691663028476377,MT3/MT1E,2
R-HSA-112315,Transmission across Chemical Synapses,1/58,272/10616,0.778987823752443,0.794063660904662,0.703180852597278,PRKCG,1
R-HSA-3247509,Chromatin modifying enzymes,1/58,274/10616,0.781459475810938,0.794063660904662,0.703180852597278,H2BC18,1
R-HSA-4839726,Chromatin organization,1/58,274/10616,0.781459475810938,0.794063660904662,0.703180852597278,H2BC18,1
R-HSA-9006925,Intracellular signaling by second messengers,1/58,304/10616,0.815432684124393,0.824153889302194,0.729827170142294,PRKCG,1
R-HSA-195721,Signaling by WNT,1/58,329/10616,0.839733247813636,0.84419991402541,0.747578871233864,PRKCG,1
R-HSA-194315,Signaling by Rho GTPases,1/58,451/10616,0.919927384342351,0.919927384342351,0.814639120637337,ARHGAP22,1
